Package,Built
abind,3.4.0
acepack,3.4.0
addinslist,3.4.0
assertthat,3.4.0
backports,3.4.3
base,3.4.3
base64enc,3.4.0
BayesianNetwork,3.4.1
bestglm,3.4.0
BH,3.4.1
bindr,3.4.0
bindrcpp,3.4.0
bitops,3.4.0
bnlearn,3.4.2
boot,3.4.3
brew,3.4.0
broom,3.4.1
callr,3.4.0
car,3.4.3
caret,3.4.3
caTools,3.4.0
cellranger,3.4.0
checkmate,3.4.2
class,3.4.3
classInt,3.4.0
cli,3.4.2
clipr,3.4.2
clisymbols,3.4.0
cluster,3.4.3
codetools,3.4.3
colorspace,3.4.0
colourpicker,3.4.2
commonmark,3.4.1
commonUtilAddins,3.4.1
compiler,3.4.3
countrycode,3.4.0
crayon,3.4.1
crosstalk,3.4.0
curl,3.4.3
CVST,3.4.0
data.table,3.4.2
datasets,3.4.3
DBI,3.4.0
dbplyr,3.4.1
ddalpha,3.4.2
debugme,3.4.2
dendextend,3.4.2
DEoptimR,3.4.0
desc,3.4.1
devtools,3.4.2
dichromat,3.4.0
digest,3.4.3
dimRed,3.4.0
diptest,3.4.0
dplyr,3.4.2
DRR,3.4.0
DT,3.4.1
e1071,3.4.0
enc,3.4.2
evaluate,3.4.1
flexmix,3.4.0
forcats,3.4.0
foreach,3.4.3
foreign,3.4.3
formatR,3.4.0
Formula,3.4.1
fpc,3.4.0
fs,3.4.3
gclus,3.4.0
gdata,3.4.0
geomnet,3.4.0
GGally,3.4.1
ggedit,3.4.0
ggforce,3.4.0
ggplot2,3.4.0
ggraph,3.4.0
ggrepel,3.4.2
ggThemeAssist,3.4.0
ggthemes,3.4.0
gh,3.4.1
git2r,3.4.3
glmnet,3.4.2
glue,3.4.2
gmp,3.4.1
googleAuthR,3.4.2
googlesheets,3.4.0
gower,3.4.0
gplots,3.4.0
graphics,3.4.3
grDevices,3.4.3
grid,3.4.3
gridExtra,3.4.1
grpreg,3.4.1
gtable,3.4.0
gtools,3.4.0
haven,3.4.1
heatmaply,3.4.2
here,3.4.0
hexbin,3.4.0
HH,3.4.1
highr,3.4.0
Hmisc,3.4.0
hms,3.4.3
htmlTable,3.4.3
htmltools,3.4.0
htmlwidgets,3.4.1
httpuv,3.4.1
httr,3.4.1
igraph,3.4.1
ini,3.4.2
ipred,3.4.0
irlba,3.4.2
iterators,3.4.3
janitor,3.4.0
jsonlite,3.4.0
kableExtra,3.4.2
kernlab,3.4.0
KernSmooth,3.4.3
knitr,3.4.1
labeling,3.4.0
labelled,3.4.3
lattice,3.4.3
latticeExtra,3.4.0
lava,3.4.2
lazyeval,3.4.2
leaps,3.4.0
lme4,3.4.2
lmtest,3.4.0
lubridate,3.4.2
magrittr,3.4.0
markdown,3.4.0
MASS,3.4.3
Matrix,3.4.3
MatrixModels,3.4.0
mclust,3.4.3
memoise,3.4.0
methods,3.4.3
mgcv,3.4.3
mime,3.4.0
miniUI,3.4.0
minqa,3.4.0
mnormt,3.4.0
ModelMetrics,3.4.0
modelr,3.4.1
modeltools,3.4.0
multcomp,3.4.2
munsell,3.4.0
mvtnorm,3.4.0
network,3.4.0
networkD3,3.4.0
nlme,3.4.3
nloptr,3.4.0
NLP,3.4.1
nnet,3.4.3
numDeriv,3.4.0
openssl,3.4.2
parallel,3.4.3
pbkrtest,3.4.0
pcaPP,3.4.1
pkgconfig,3.4.0
plogr,3.4.0
plotly,3.4.1
plyr,3.4.0
polycor,3.4.0
prabclus,3.4.0
praise,3.4.0
prettyunits,3.4.0
processx,3.4.1
prodlim,3.4.0
progress,3.4.0
proxy,3.4.3
psych,3.4.1
purrr,3.4.2
qap,3.4.0
quantreg,3.4.2
questionr,3.4.2
R6,3.4.0
randomForest,3.4.0
rappdirs,3.4.0
RColorBrewer,3.4.0
Rcpp,3.4.3
RcppEigen,3.4.3
RcppRoll,3.4.0
readr,3.4.0
readxl,3.4.0
recipes,3.4.3
registry,3.4.3
rematch,3.4.0
rematch2,3.4.1
reprex,3.4.0
rescuetimeR,3.4.1
reshape,3.4.1
reshape2,3.4.3
rintrojs,3.4.1
rlang,3.4.2
rmarkdown,3.4.2
Rmpfr,3.4.1
robustbase,3.4.2
roxygen2,3.4.0
rpart,3.4.3
RPostgreSQL,3.4.1
rprojroot,3.4.1
rstudioapi,3.4.1
rvest,3.4.0
sandwich,3.4.1
scales,3.4.1
selectr,3.4.0
seriation,3.4.0
sfsmisc,3.4.0
shiny,3.4.1
shinyAce,3.4.0
shinyBS,3.4.0
shinydashboard,3.4.0
shinyjs,3.4.1
slam,3.4.3
sna,3.4.0
SnowballC,3.4.0
sourcetools,3.4.0
SparseM,3.4.0
spatial,3.4.3
splines,3.4.3
statnet.common,3.4.1
stats,3.4.3
stats4,3.4.3
stringi,3.4.2
stringr,3.4.0
styler,3.4.3
survival,3.4.3
tcltk,3.4.3
testthat,3.4.3
TH.data,3.4.0
tibble,3.4.1
tidyr,3.4.2
tidyselect,3.4.2
tidyverse,3.4.2
timeDate,3.4.2
tm,3.4.3
tools,3.4.3
trimcluster,3.4.0
TSP,3.4.0
tweenr,3.4.0
udunits2,3.4.0
units,3.4.3
usethis,3.4.3
utils,3.4.3
vcd,3.4.3
viridis,3.4.0
viridisLite,3.4.0
visNetwork,3.4.3
webshot,3.4.3
whisker,3.4.0
withr,3.4.3
wordcloud,3.4.0
xml2,3.4.0
xtable,3.4.0
yaml,3.4.3
zoo,3.4.0
